,tweets,classification
177,govern match canadian donationtyphoon haiyan relief,donation
178,secdef hagel direct provid humanitarian aid phillipin follow typhoon haiyan devast,donation
179,super typhoon haiyan 380kmhr,situational_update
180,hi airasia zest accept donationvictim super typhoon yolanda donat,donation
181,donationaffect famili yolandaph super typhoon haiyan reliefph rebui,donation
182,repost medillin cebu town devast super typhoon yolanda call,situational_update
183,help victim super typhoon haiyan yolanda donat volunt ty,donation
184,earthquak stronger haiti thousand aftershock thunderstorm tornado super typhoon kee,situational_update
185,sana naman wag matuloy yung sinasabi super typhoon bagyongyolanda,emotional_support
186,typhoon haiyan move closer ph,situational_update
187,guy im scare super typhoon hit place pray happen,emotional_support
188,fine weather namn po cant believ super typhoon come tomorrow,situational_update
189,buka tatama super typhoon yolanda tuloy po ba enrol letrancalamba,situational_update
190,pl pray safetysup typhoon away,emotional_support
191,feel helpless expect super typhoon hour,situational_update
192,haiyan rival utor strongest typhoon hit philippin year accumet eric wanenchak,situational_update
193,super typhoon yolanda monstress prayforthephilippin im scare,emotional_support
194,let hope pray super typhoon yolanda wont cross way safe cebu yolandaph cebu casaverdeph,emotional_support
195,pray po super typhoon lyolanda signal no4 godbless pray,emotional_support
196,hope said super typhoon dissolv soon stay safe,emotional_support
197,foreign trip tomorrow lunch time shall super typhoon arriv philippin flight sched affect,situational_update
198,hardit super typhoon get stronger yolanda,situational_update
199,typhoon head philippin classifi violent center wind 195 km hour,situational_update
200,rain start pour tho damn come super typhoon,situational_update
201,safe let pray everyon safeti super typhoon wont push,emotional_support
202,brace come super typhoon safe,situational_update
203,super typhoon yolandaph storm track pray besafephilippin,situational_update
204,super typhoon fast approach let prepar especi visaya mindanao peopl pray yola,emotional_support
205,nakakatakot yung bagyo tt sana lumihi lang yun yolandaph super typhoon daw eh,emotional_support
206,mag ingat super typhoon,emotional_support
207,strengthen super typhoon haiyan 201311061330mtsat1rxir1kmbw31whaiyan140kts918mb79n1362e100pcjpg imag,emotional_support
208,gbggdg initi typhoon haiyanyolanda crisi relief map yolandaph,donation
209,watch philippin coast guard cebu prepar super typhoon yolanda intern haiyan near,situational_update
210,avoid unnecessari trip outsid offic home tomorrow thursday friday safe prepar super typhoon rt,situational_update
211,postpon cancel pray hard super typhoon immedi leav countri,emotional_support
212,papasok daw super typhoon ingat kayo tatamaan bagyo,emotional_support
213,heavi quak here typhoon mean super typhoon prayer help countri,emotional_support
214,hope fine super typhoon keeppray,emotional_support
215,good even super typhoon yolandaph approach safe,situational_update
216,let pray come super typhoon yolanda,emotional_support
217,local statement nw guam super typhoon haiyan yolandaph,situational_update
218,safe alert2 pgdate super typhoon yolanda,situational_update
219,satellit imag show current posit super typhoon haiyan best,situational_update
220,typhoon haiyan updat let pray safeti path,emotional_support
221,phillipin brace super typhoon haiyan area saw 72 earthquak mid octob,situational_update
222,super typhoon haiyan head central philippin 1 day prepar landfal,situational_update
223,thaiflood super typhoon haiyan threat philippin,situational_update
224,10 minut pass learn super typhoon hit tomorrow datcomm quiz friday,situational_update
225,super typhoon yolanda stronger pablo militari,situational_update
226,haha yung super typhoon landfal daw leyt 8am fri mean baka signal 1 2 saten,situational_update
227,pray safeti super typhoon prayforthephilippin,emotional_support
228,guy pray philippin super typhoon schedul arriv tomorrow even prayforvisaya plea,emotional_support
229,serious get worri super typhoon,emotional_support
230,72 magnitud quak there super typhoon come mean tie roof ugh,situational_update
231,lord protect super typhoon yolanda amen,emotional_support
232,super typhoon ingat po kayo,emotional_support
233,super typhoon gonna hit friday besaf bereadi allthingsarepack,emotional_support
234,mejo scari ung super typhoon,emotional_support
235,brace kapamilyasup typhoon yolanda stronger pablo militari,situational_update
236,scari af di nga nawawala aftershock tapo super typhoon naman world happen haha,emotional_support
237,dear papa god sana po safe matatamaan super typhoon po sana safe flight,emotional_support
238,learn fish prepar super typhoon expect week taoist templ,situational_update
239,state panic buy groceri store prepar super typhoon got ciggi pocket,situational_update
240,incom bad weather super typhoon yolandaso readi prepar everyoneand safe,emotional_support
241,super typhoon come let prepar heart pray countri prayforthephilippin yolandaph,emotional_support
242,let pray super typhoon enter par mighti jesu amen,emotional_support
243,philippin high alert brace typhoon haiyan,situational_update
244,wp typhoon haiyan advisori 14 140 kt161 mph wind 79n 1362e move w 18 kt21 mph tropic fb t,situational_update
245,typhoon yolanda super typhoon dont want typhoon pablo traumat,emotional_support
246,selfi super typhoon come get readi safe night love u guy,situational_update
247,tomorrow thursday friday socal super typhoon come philippin possibl signal 4 care,situational_update
248,sever typhoon haiyan explod power path philippin,situational_update
249,pl pray filipino peopl affect super typhoon haiyan dearest pope pray,emotional_support
250,typhoon haiyan name typhoon yolanda enter philippin area responsibilitypar par,situational_update
251,news brace super typhoon yolanda pagasa philippin star googl,situational_update
252,pray ph grabe sana ganun kalaka yung super typhoon sana joke lang super sya pwede naman diba,emotional_support
253,hand pray affect super typhoon stay alert safe,emotional_support
254,guy pray philippin super typhoon schedul arriv tomorrow even prayforvisaya ple,emotional_support
255,dear god protect super typhoon let harm come peopl love pray countri rt,emotional_support
256,affect super typhoon yolanda stay safe,emotional_support
257,630am flight bound manila super typhoon yolandaph hit manila 12 hour,situational_update
258,lord spare super typhoon yolanda prayer prayforphilippin prayforvisaya keepsaf,emotional_support
259,prayer hometown especi grandma super typhoon expect hit area,emotional_support
260,imb ninyo love ex bkt niyo n lng pag pray bansa ntin super typhoon masasalanta,emotional_support
261,let pray provinc hit super typhoon pray,emotional_support
262,hi guy abl updat tom till sat think baka kasi maputulan kuryent super typhoon,call_for_action
263,good even thomasian how day let prepar come super typhoon prayer help,emotional_support
264,watch weather man said thur major supertyphoon hit philippineslord jesu forgiv,emotional_support
265,feel super typhoon scari nagsisimula nang umulan,situational_update
266,im threathend news super typhoon come end week oh yolandaph,situational_update
267,super typhoon let pray,emotional_support
268,kinakabahan super typhoon ingat,emotional_support
269,read super typhoon report hit countri prepar know your,situational_update
270,im sorri twitter day bc monitor news super typhoon yeah work heavi rain,situational_update
271,napol hear super typhoon yolanda tomorrow god bless philippin,emotional_support
272,jesu spare countri super typhoon yolandaph suffer lord care god bless amen,emotional_support
273,strengthen super typhoon haiyan pose threat life properti philippin,situational_update
274,oh u pcome super typhoon keepsafeguy,situational_update
275,super typhoon yolanda come safe guy godbless,emotional_support
276,pray brother philippin supertyphoon way,emotional_support
277,let pray philippin yolanda hell super typhoon,emotional_support
278,lord spare super typhoon yolanda guy dont forget pray everybodi safeti god bless,emotional_support
279,pray phillipinessup typhoon tomorrow dubnat listen dubup,emotional_support
280,panama yang super typhoon yolanda xa super god ajah papa jesu protect,emotional_support
281,yolanda super typhoon enter par midnight pray malihi landa bagyong itokeep safe lalo affect gbu,situational_update
282,know there super typhoon go hit philippin week,situational_update
283,brace upcom super typhoon safe peopl bereadi expecttheunexpect,situational_update
284,brace super typhoon strongest hit countri year pray prayforphilippin yolandaph,situational_update
285,super typhoon yolanda fast approach load prayer need safe,emotional_support
286,goodnight pl help pray philippin accdg news super typhoon hit philippin tomorrow,emotional_support
287,13 lord save power name super typhoon amen amen,emotional_support
288,super typhoon come let pray,emotional_support
289,earthquak tornado super typhoon suffer rejoic suffer,situational_update
290,im worri peopl bohol cebu got hit earthquak worri super typhoon,emotional_support
291,pray everyon safeti super typhoon haiyan yolanda categori 4 storm gain strength,emotional_support
292,dear yolanda super typhoon lang super god x,emotional_support
293,alert super typhoon approach prepar readi guy,situational_update
294,super typhoon come pray everyon safeti,emotional_support
295,pray declar god bless protect kababayan visaya amid super typhoon yolanda presenc,emotional_support
296,hit hard super typhoon get stronger inevit mother matur thi,situational_update
297,oh dear lord creator heaven earth shield super typhoon yolanda night wyour warm arm cant harm 13,emotional_support
298,super typhoon hope alright god bless ph,emotional_support
299,cant sleep im worri super typhoon huhuhuhu safe prayer badli need yolandaph,emotional_support
300,pray visaya nilindol nagbabadya super typhoon baka naman mag concert chicser jan grabe ya,emotional_support
301,water flash light candl food better readi sorri super typhoon yolanda way tc,situational_update
302,read super typhoon report hit countri lord protect trust way,emotional_support
303,super typhoon way stay safe guy,emotional_support
304,super super typhoon pray ingodwetrust,emotional_support
305,super duper typhoon calm smile pray safe,emotional_support
306,super typhoon daw buka magdadala payong haha,situational_update
307,pray weaken strongest super typhoon planet pray save yolandaph supertyphoon,emotional_support
308,okay super typhoon scare huhuhu pray,emotional_support
309,wow actual pretti big stay safe actual pa phil directli ughh,emotional_support
310,pray lang super typhoon ha friendship,emotional_support
311,super typhoon god power pray safe pray yolandaph,emotional_support
312,pl pray peopl bohol magkakaron po super typhoon kakatapo lang earthquak yolandaph,emotional_support
313,parat yung super typhoon safe guy wag kayo pumasok baka mapahamak kayo,emotional_support
314,pray philippin typhoon haiyan approach oh lord merci peopl philippin,emotional_support
315,human forc cant stop super typhoon yolanda god trust control pray,emotional_support
316,beat yolandasup typhoon bagyo lang pilipino si lord super power yolandaph amen,emotional_support
317,phone convo end kulit tlga bhe care bhe readi super typhoon hope safe,emotional_support
318,latest updat typhoon haiyan intern,situational_update
319,super typhoon yolanda come close stay safe tweep,emotional_support
320,safe pray goodnight haiyan supertyphoon yolanda,emotional_support
321,pray affect come super typhoon god provid amen,emotional_support
322,super typhoon haiyan pose threat philippin,situational_update
323,lord protect super typhoon yolandaph keepsafedri,emotional_support
324,prepar yolandawhat super typhoon yolandaph,situational_update
325,umaygad super typhoon haiyan line indic approxim timeloc center storm cnn ht,situational_update
326,good morn everyonedar po super typhoon,situational_update
327,thought bohol earthquak bad super typhoon pointblank hit 268 kph gust 324 kph,situational_update
328,public warn typhoon haiyanyolandaph way underst where urgenc,situational_update
329,peopl philippin brace super typhoon yolandaph come town ingatz,situational_update
330,school tomorrow bc super typhoon goddamn 15 die,call_for_action
331,prepar yolanda super typhoon yolandaph,situational_update
332,typhoon yolanda prepar prayer miracl imposs super typhoon weaken,emotional_support
333,readi super typhoonyolandaph godblessphilippin staysaf,situational_update
334,look gloomi outsid super typhoon insid philippin area respons,situational_update
335,new cap 3d mg super typhoon away visaya,situational_update
336,let pray almighti control come super typhoon yolandaph god merci ask,emotional_support
337,pagasa 8 eye typhoon yolanda haiyan approxim 712 km east hinatua,situational_update
338,categori 5 super typhoon haiyanyolanda nag panicbuy tao groceri nagpan lang kay walay pang buy,situational_update
339,super scari tong c teh yolanda ah pwede dagat k nlng parati lumaba k par possibl pray yolandaph,emotional_support
340,dear god pl spare philippin come super typhoon,emotional_support
341,super typhoon come godbless,emotional_support
342,god guid protect super typhoon yolandaph amen,emotional_support
343,safe guyssooo yolondaph categori 5 super typhoon,emotional_support
344,impress super typhoon haiyan 260kph162mph yolandaph impresionant imagn del sper tifn haiyan cnn,situational_update
345,dear god protect super typhoon yolanda let harm come peopl love pray countri,emotional_support
346,wow look 1km visibl imag super typhoon haiyan wind 175 mph,situational_update
347,super typhoon haiyan come tropic depress approach coast southern vietnam saigon,situational_update
348,spiral arm outer band super typhoon haiyan move philippin larg scale visibl imag,situational_update
349,super typhoon yolanda head 2wrd visaya regioni pray tht famili aklan nd rest peopl affctd typhoon safe,situational_update
350,typhoon palau philippin 0000z 7 nov 13 jtwc atcf track super typhoon 31w haiyan 31w ha,situational_update
351,philippin quak survivor face supertyphoon haiyan,situational_update
352,pia10bukidnon prepar super typhoon yolanda dpwh x region director evelyn barroso order,situational_update
353,text tenant care super typhoon,emotional_support
354,stay safe super typhoon come today ok,emotional_support
355,incred structur super typhoon haiyan expect slightli weaken slam,situational_update
356,readi food suppli super typhoon yolandaph philippin macmaloon,situational_update
357,super typhoon yolanda look like safe yolandaph haiyan lhearnie12,emotional_support
358,massiv evacu underway typhoonhaiyan threaten central philippin worldvis,situational_update
359,sure u heard typhoon haiyan eye philippin 160mph wind,situational_update
360,super typhoon haiyan akan mendarat dengan kecepatan 240kmjam sangat berbahaya semoga tuhan melindungi filipina,situational_update
361,omg get typhoon haiyan yolanda wind 175 mph gust 210 mph,situational_update
362,start dark super typhoon make nervou wreck,situational_update
363,typhoon yolanda philippin disast prevent websit hack storm,situational_update
364,stun recent satellit imag show beauti feroc super typhoon haiyan,situational_update
365,oh lord watch philippin 1st visibl sat pictur super typhoon haiyan cat 5,emotional_support
366,believ power prayer supertyphoon power,emotional_support
367,despit disasterprepared cant stop super typhoon pray trust lord,emotional_support
368,pray safeti philippin super typhoon yolanda truth justic pdaf pra,emotional_support
369,super typhoon yolanda signal 1 iloilo dont ruin iict day,situational_update
370,latest forecast track yolanda haiyan dostpagasa,situational_update
371,bcl 12nn pampanga rescu team nakahanda pagdat super typhoon,situational_update
372,prayforthephilippin super typhoon land place signal 4,emotional_support
373,jesu christ prayer philipin couldnt imagin super typhoon haiyan,emotional_support
374,sat imag yolandaph super typhoon haiyan noaa satellit inform servic,situational_update
375,latest forecast track super typhoon haiyan direct impact philippin yolanda,situational_update
376,retweet pray urgent prayer request super typhoon make landfal philippin,emotional_support
377,photo yolandaph super typhoon haiyan noaa satellit inform servic,situational_update
378,there super typhoon head countri rain hah,situational_update
379,haiyan yolanda el m potent cicln globalment en el 2013 rfaga 335 kmhr,situational_update
380,earthquaketwist super typhoonb safe,emotional_support
381,super typhoon haiyan continu march wnw philippin directli sight wind forecast,situational_update
382,updat typoon yolanda aka haiyan kk peep caution flash flood area bring umbrella,situational_update
383,love earth stun recent satellit imag show beauti feroc super typhoon haiyan,situational_update
384,im get readi suppoteam respond upcom typhoon haiyan yolanda,situational_update
385,super typhoon catch break hope theyr abl hold imagin 170mph wind,situational_update
386,super typhoon hit philippin flight connect manila probabl sign stay bangkok,situational_update
387,72 tremor wasnt philippin quak survivor face supertyphoon haiyan,situational_update
388,welltim help come need god bless area path super typhoon yolanda,call_for_action
389,beg pl pray philippin bc super typhoon pl,emotional_support
390,guy pray philippin super typhoon schedul arriv tomorrow even prayforvisaya pleasert,emotional_support
391,readi super typhoon prepar pray yolandaph,emotional_support
392,cosign mt stun recent satellit imag show beauti feroc super typhoon haiyan,situational_update
393,philippin prayer prepar super typhoon come coupl day familyfirst worri,emotional_support
394,typhoon move philipin super typhoon haiyan intensifi move,situational_update
395,super typhoon haiyan threat philippin,situational_update
396,latest satellit imag supertyphoon yolanda news bubblew bubblew yolanda philippin keepsaf,situational_update
397,super typhoon haiyan 175 mph gust 210 move philippin woah,situational_update
398,latest satellit imag supertyphoon yolanda news bubblew bubblew,situational_update
399,spiral arm outer band super typhoon haiyan move philippin larg scale visibl imag wow,situational_update
400,mejor perspectiva geogrfica de yolanda haiyan con su viento sostenido de 280 kmhr rumbo filipina,situational_update
401,pray safeti philippin typhoon forecast landfal friday haiyan,emotional_support
402,scaryphoto yolandaph super typhoon haiyan noaa satellit inform servic,situational_update
403,perspectiva geogrfica de yolanda haiyan viento sostenido de 280 kmhr rumbo filipina,situational_update
404,philippin brace super typhoon strongest year reuter sky news australiaphilippin brace,situational_update
405,super typhoon haiyan better known yolanda philippin strongest cyclon year worldwid,situational_update
406,exact locat wind field super typhoon yolanda 24 hour ingat god bless triskelion,situational_update
407,typhoon haiyan 24hr landfal prep time becuas,situational_update
408,philippin aim zero casualti super typhoon haiyan twitter final price ipo asiaconnect 12pm,situational_update
409,present im concern peopl brunt typhoon earthquak super typhoon,emotional_support
410,dtn bangladesh photo satellit imag super typhoon haiyan photo satellit imag super,situational_update
411,haiyan si yolanda yolandaph prayforphilippin,emotional_support
412,pray safeti philippin super typhoon haiyan pass countri start todaymay god merci,emotional_support
413,super typhoon haiyan come south china sea safe travel safe phillipin time fli,situational_update
414,cebu cebuano share wednesday prepar super typhoon yolanda supertyphoonyolanda,situational_update
415,pray citi ttamaan bagyong yolanda 260kph super typhoon tatama ngaun decad,emotional_support
416,repost cebu list emerg number super typhoon yolanda,situational_update
417,typhoon haiyan 24hr landfal area brunt danger storm,situational_update
418,warn super typhoon haiyan threat philippin haiyan super typhoon wednesday,situational_update
419,shorecloud corpor team weather condit brought super typhoon yolanda,situational_update
420,ultimora philippin brace super typhoon strongest year manila reuter author groun,situational_update
